English Word,English Correct Count,English Call Count,English Percent Correct,German Word,German Correct Count,German Call Count,German Percent Correct
he must,20,25,80,er muss,10,12,83.33
much,20,23,86.96,viel,11,13,84.62
often,17,18,94.44,oft,11,11,100
waitress,18,20,90,Kellnerin,14,16,87.5
until,16,18,88.89,bis,10,12,83.33
he needs,15,19,78.95,er braucht,13,17,76.47
the parents,17,20,85,die eltern,10,11,90.91
less,17,19,89.47,wenigar,10,11,90.91
Rent,19,24,79.17,Mieten,10,11,90.91
perhaps,14,18,77.78,vielleicht,12,13,92.31
difficult,16,20,80,schwer,11,12,91.66666666666666
your,15,16,93.75,dein,11,12,91.66666666666666
prefer,18,19,94.73684210526316,lieber,22,36,61.11111111111112
permitted,16,20,80,erlaubt,12,18,66.67
sometimes,18,19,94.74,manchmal,11,11,100
the chair,18,25,72,der stuhl,13,13,100
the desk,18,23,78.26,der Schreibtisch,12,12,100
the closet,21,27,77.78,der Schrank,11,11,100
very,19,19,100,sehr,11,11,100
track,20,27,74.07407407407408,gleis,11,11,100
the train,11,11,100,der zug,11,11,100
the lawyer,12,16,75,der anwalt,12,12,100
rich,12,15,80,reich,9,10,90
to run,10,12,83.33,laufen,11,14,78.57
teacher (female),12,12,100,lehrerin,11,14,78.57142857142857
the lamp,11,11,100,die lampe,11,12,91.66666666666666
later,12,12,100,später,11,11,100
loud,12,12,100,laut,11,11,100
the carpet,9,9,100,der teppich,12,13,92.31
bright,10,11,90.91,hell,10,13,76.92307692307693
is raining,9,11,81.81818181818183,regnet,11,11,100
the bedroom,12,13,92.31,das schlafzimmer,11,11,100
dark,8,9,88.89,dunkel,12,12,100
to study,22,31,70.96774193548387,studieren,11,12,91.67
the theater,12,14,85.71,das kino,11,12,91.67
fast,12,15,80,schnell,11,11,100
Ugly,9,10,90,hässlich,10,10,100
now,12,13,92.3076923076923,jetzt,8,8,100
how,12,14,85.71,wie,12,12,100
really,11,13,84.62,wirklich,9,9,100
the bed,11,12,91.67,das bett,11,11,100
friends,11,12,91.67,freunde,12,19,63.16
cheap,10,10,100,billig,11,11,100
the pet,12,14,85.71,das haustier,11,12,91.67
nearby,11,11,100,in der Nähe,15,20,75
every,9,9,100,jeden,11,13,84.62
teacher (male),9,9,100,lehrer,11,15,73.33
the table,11,12,91.67,der tisch,8,8,100
expensive,8,8,100,teuer,8,10,80
comfortable,7,7,100,bequem,13,16,81.25
the bookcase,24,36,66.67,das Bücherregal,12,16,75
fully furnished,8,8,100,voll möbliert,11,13,84.62
you like,10,12,83.33,du magst,10,13,76.92307692307693
to sleep,16,23,69.57,schlafen,13,16,81.25
the couch,11,12,91.66666666666666,die couch,11,11,100
costs,9,9,100,kostet,12,12,100
you're welcome,11,11,100,gern geschehen,11,13,84.61538461538461
over there,10,10,100,da drüben,11,11,100
I cook,12,13,92.31,ich koche,12,13,92.31
left,10,10,100,links,12,12,100
why,10,10,100,warum,12,14,85.71
city,10,10,100,stadt,13,13,100
far away,10,10,100,weit weg,12,13,92.31
you Need,11,14,78.57,du brauchst,14,18,77.78
The apartment,9,9,100,die wohnung,11,12,91.66666666666666
right,10,10,100,rechts,11,13,84.61538461538461
when,8,10,80,wann,12,13,92.31
clean,12,13,92.31,sauber,11,12,91.67
who,11,12,91.66666666666666,wer,11,11,100
he sees,10,12,83.33,er sieht,12,13,92.31
vacation,11,13,84.61538461538461,urlaub,10,12,83.33
i like,12,15,80,ich mag,13,18,72.22
roommate,9,9,100,mitbewohner,11,11,100
today,11,11,100,heute,13,13,100
windy,10,11,90.9090909090909,windig,9,9,100
smart,11,11,100,klug,11,11,100
the umbrella,26,42,61.9,Der Regenschirm,13,13,100
fall,9,10,90,herbst,8,8,100
bad,11,11,100,schlecht,11,12,91.67
cloudy,10,10,100,bewölkt,11,14,78.57142857142857
beautiful,10,10,100,schön,10,11,90.9090909090909
scarf,9,9,100,Schal,12,13,92.31
is snowing,8,8,100,schneit,13,17,76.47
what is your name,15,21,71.43,Wie heißen Sie,10,12,83.33
doctor,9,9,100,Artz,10,11,90.91
the water bottle,10,15,66.66666666666666,die wasserflasche,21,31,67.74
foggy,10,13,76.92,neblig,11,15,73.33333333333333
to hike,9,9,100,wandern,11,12,91.67
hot,10,11,90.9090909090909,heiß,11,12,91.66666666666666
spring,11,11,100,Frühling,11,11,100
sister,9,9,100,schwester,10,10,100
my husband,9,9,100,mein mann,13,13,100
my wife,11,11,100,meine Frau,11,11,100
delicious,11,11,100,lecker,11,16,68.75
see you soon,11,11,100,bis bald,10,13,76.92
how are you,10,11,90.91,wie geht's,20,33,60.61
no problem,7,9,77.78,kein problem,11,11,100
see you later,11,12,91.66666666666666,bis spater,14,17,82.35
I'm sorry,11,11,100,Es tut mir leid,11,12,91.67
always,10,10,100,immer,11,11,100
the food,12,12,100,das essen,13,13,100
also,11,13,84.62,auch,14,19,73.68
daughter,9,9,100,tochter,12,12,100
grandmother,9,9,100,oma,10,11,90.9090909090909
aunt,8,8,100,tante,11,11,100
girlfriend,11,12,91.67,freundin,12,14,85.71
nice,10,10,100,nett,11,11,100
where,12,14,85.71,wo,11,13,84.61538461538461
the snail,12,13,92.31,die Schnecke,10,10,100
the owl,10,11,90.9090909090909,die Eule,11,12,91.66666666666666
actor,11,12,91.67,Schauspieler,11,12,91.67
egg,9,11,81.81818181818183,ei,8,8,100
exciting,12,15,80,aufregend,13,17,76.47
stressful,11,12,91.66666666666666,stressig,13,14,92.86
college student,11,15,73.33,studentin,11,17,64.71
profession,11,13,84.61538461538461,Beruf,18,25,72
you paint,13,15,86.67,malst,11,11,100
to paint,8,10,80,malen,16,23,69.57
department store,19,25,76,kaufhaus,12,12,100
red,9,10,90,rote,12,12,100
no idea,10,13,76.92,keine ahnung,12,13,92.31
student (male),18,32,56.25,Schüler,15,23,65.22
our,12,16,75,unserer,10,13,76.92
school,18,24,75,schule,14,19,73.68
languages,8,9,88.88888888888889,Sprachen,13,20,65
he speaks,16,20,80,er spricht,11,11,100
shoes,10,10,100,Schuhe,16,24,66.67
question,13,14,92.86,frage,10,12,83.33
TV,12,16,75,Fernseher,11,12,91.67
to order,8,8,100,bestellen,18,26,69.23
he takes,10,10,100,er nimmt,11,13,84.61538461538461
to take,9,9,100,nehmen,11,13,84.62
his,12,15,80,seine,11,12,91.66666666666666
to drive,11,11,100,fahren,18,25,72
he drives,7,8,87.5,er fährt,21,32,65.63
come on,12,13,92.31,los,18,26,69.23
again,11,11,100,wieder,12,13,92.31
The vegetarian,18,24,75,Der Vegetarier,14,18,77.78
The menu,11,14,78.57,die Speisekarte,13,17,76.47
The chicken,13,17,76.47,Das Hähnchen,11,11,100
boy,10,11,90.91,junge,11,12,91.67
The Bear,11,14,78.57,der bär,10,11,90.91
he plays,11,13,84.62,er spielt,14,17,82.35
he eats breakfast,13,15,86.67,er frühstückt,17,26,65.38
to jog,11,12,91.66666666666666,joggen,13,14,92.86
The Artist,16,22,72.73,Der Künstler,11,13,84.61538461538461
like to,22,34,64.71,gern,33,66,50
take photos,12,17,70.59,fotografiert,10,13,76.92
weekend,13,15,86.67,Wochenende,13,14,92.86
chess,11,13,84.62,Schach,18,24,75
what are you doing,12,13,92.31,was machst du,25,41,60.98
